[HIỆU SUẤT TUẦN — % thay đổi 5 phiên]
  Đồng: +2.5%
  Vàng: +0.8%
  Ngô: +0.4%
  DXY: -1.1%
  Bạc: -1.3%
  Lúa mì: -3.5%
  WTI: -4.2%
  Khí TN: -4.3%
  Đậu t.: -4.6%
  Brent: -6.8%
→ Tốt nhất: Đồng +2.5% | Kém nhất: Brent -6.8%

**BÁO CÁO TỔNG KẾT TUẦN THỊ TRƯỜNG HÀNG HÓA 2026-W30**

1.  **Sự kiện & Xu hướng nổi bật nhất tuần:**
    *   **Hạ nhiệt căng thẳng địa chính trị:** Việc nối lại đàm phán Mỹ-Iran đã làm giảm đáng kể "phần bù rủi ro chiến tranh" trong giá dầu, gây áp lực giảm mạnh lên nhóm năng lượng.
    *   **Biến động cực đoan của dầu mỏ:** Giá dầu trải qua tuần đầy biến động, từ đà tăng mạnh đầu tuần sang giảm sâu do chốt lời và thông tin địa chính trị, sau đó phục hồi nhẹ nhờ tín hiệu từ OPEC+, nhưng vẫn kết thúc tuần với mức giảm đáng kể.
    *   **Chính sách tiền tệ của Fed:** Cục Dự trữ Liên bang giữ nguyên lãi suất, làm suy yếu đồng USD (-1.1% DXY) và tạo động lực hỗ trợ cho các mặt hàng định giá bằng đồng bạc xanh như kim loại quý và kim loại công nghiệp.
    *   **Dòng tiền đầu cơ nông sản:** Ngô nhận được dòng tiền đầu cơ mạnh mẽ, đẩy giá tăng nhẹ bất chấp xu hướng giảm chung của một số nông sản khác.

2.  **Hiệu suất từng nhóm:**
    *   **Năng lượng:** Giảm mạnh. Dầu Brent giảm -6.8%, Dầu WTI giảm -4.2%, Khí tự nhiên giảm -4.3%.
    *   **Kim loại quý:** Vàng tăng nhẹ +0.8%, trong khi Bạc giảm -1.3%.
    *   **Nông sản:** Ngô tăng nhẹ +0.4%. Lúa mì giảm -3.5%, Đậu tương giảm -4.6%.
    *   **Kim loại công nghiệp:** Đồng tăng mạnh +2.5%, dẫn đầu thị trường.

3.  **Yếu tố rủi ro lớn nhất tuần tới:**
    *   Diễn biến tiếp theo của đàm phán Mỹ-Iran và tình hình địa chính trị tại Trung Đông, cùng với các tín hiệu về chính sách sản lượng từ OPEC+.

4.  **Dự báo xu hướng ngắn hạn theo nhóm:**
    *   **Năng lượng:** WTI và Brent dự kiến tiếp tục SIDEWAY với biến động cao, Khí tự nhiên duy trì xu hướng GIẢM.
    *   **Kim loại quý:** Vàng có thể duy trì xu hướng TĂNG nhẹ hoặc SIDEWAY nghiêng TĂNG, Bạc có thể SIDEWAY.
    *   **Nông sản:** Ngô có thể tiếp tục TĂNG do dòng tiền đầu cơ, Lúa mì và Đậu tương dự kiến SIDEWAY.
    *   **Kim loại công nghiệp:** Đồng có thể duy trì xu hướng TĂNG nhẹ hoặc SIDEWAY nghiêng TĂNG.
